id,time,latitude,longitude,mag,magType,place,type,status,locationSource,state
nc73706136,2022-03-15 18:47:13.030000+00:00,37.2876667,-121.6711667,0.91,md,"15km E of Seven Trees, CA",earthquake,reviewed,nc,US-CA
ak0223eor0rr,2022-03-15 18:44:49.673000+00:00,59.911,-152.8505,1.3,ml,"59 km WNW of Anchor Point, Alaska",earthquake,reviewed,ak,US-AK
ok2022feut,2022-03-15 18:42:57.799000+00:00,36.3605,-96.986,0.93,ml,"7 km NNE of Morrison, Oklahoma",earthquake,reviewed,ok,US-OK
hv72951262,2022-03-15 18:41:40.510000+00:00,19.1988334655762,-155.395492553711,1.80999994,md,"8 km E of P?hala, Hawaii",earthquake,automatic,hv,US-HI
nc73706131,2022-03-15 18:41:11.100000+00:00,38.8310013,-122.8116684,0.85,md,"8km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
nc73706126,2022-03-15 18:40:41.230000+00:00,38.7809982,-122.7225037,0.86,md,"3km WNW of Anderson Springs, CA",earthquake,automatic,nc,US-CA
ak0223eopvmx,2022-03-15 18:39:16.574000+00:00,53.5768,-167.1119,1.5,ml,"50 km SW of Unalaska, Alaska",earthquake,reviewed,ak,US-AK
nn00835383,2022-03-15 18:39:00.847000+00:00,37.1578,-117.2407,1.4,ml,"50 km WNW of Beatty, Nevada",earthquake,reviewed,nn,US-NV
ci39968695,2022-03-15 18:30:13.070000+00:00,35.815,-117.6248333,0.23,ml,"21km WNW of Searles Valley, CA",earthquake,reviewed,ci,US-CA
nc73706121,2022-03-15 18:29:43.090000+00:00,38.8163333,-122.8003333,1.14,md,"6km NW of The Geysers, CA",earthquake,reviewed,nc,US-CA
us6000hf5j,2022-03-15 18:29:02.166000+00:00,54.3779,-161.4162,2.7,ml,"95 km SE of King Cove, Alaska",earthquake,reviewed,us,
nc73706116,2022-03-15 18:28:56.940000+00:00,38.8161659,-122.8000031,0.35,md,"6km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
ok2022feuh,2022-03-15 18:28:44.090000+00:00,35.7345,-97.76616667,1.1,ml,"10 km N of Piedmont, Oklahoma",earthquake,reviewed,ok,US-OK
nc73706111,2022-03-15 18:28:39.620000+00:00,38.8158333,-122.7998333,1.51,md,"6km NW of The Geysers, CA",earthquake,reviewed,nc,US-CA
nc73706106,2022-03-15 18:28:28.990000+00:00,38.8160019,-122.7998352,0.88,md,"6km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
ci39968687,2022-03-15 18:28:28.980000+00:00,35.8241667,-117.6456667,0.73,ml,"23km WNW of Searles Valley, CA",earthquake,reviewed,ci,US-CA
nc73706101,2022-03-15 18:27:43.120000+00:00,38.8171654,-122.8003311,0.73,md,"6km NW of The Geysers, CA",earthquake,automatic,nc,US-CA
ci37402868,2022-03-15 18:19:56.180000+00:00,35.8225,-117.6486667,0.02,ml,"23km N of Ridgecrest, CA",earthquake,reviewed,ci,US-CA
ci39968671,2022-03-15 18:19:32.890000+00:00,35.8245,-117.6435,0.54,ml,"22km WNW of Searles Valley, CA",earthquake,reviewed,ci,US-CA
uu60485677,2022-03-15 18:18:04.110000+00:00,39.421,-110.3131667,1.7,md,"15 km SSE of Sunnyside, Utah",earthquake,reviewed,uu,US-UT
us6000h4ss,2022-03-15 18:15:49.383000+00:00,14.0082,119.4751,5.0,mb,"63 km WNW of Cabra, Philippines",earthquake,reviewed,us,
ci39968663,2022-03-15 18:15:34.880000+00:00,35.8251667,-117.6508333,3.09,ml,"23km N of Ridgecrest, CA",earthquake,reviewed,ci,US-CA
ci39968655,2022-03-15 18:15:28.830000+00:00,33.4865,-116.552,0.65,ml,"14km SE of Anza, CA",earthquake,reviewed,ci,US-CA
us6000h4sq,2022-03-15 18:13:09.995000+00:00,-23.1173,179.5606,4.8,mb,south of the Fiji Islands,earthquake,reviewed,us,
pr71340333,2022-03-15 18:12:54.650000+00:00,18.021,-66.822,2.31,md,"2 km N of Indios, Puerto Rico",earthquake,reviewed,pr,US-PR
us6000h5tu,2022-03-15 18:10:03.699000+00:00,-23.0027,179.7397,4.2,mb,south of the Fiji Islands,earthquake,reviewed,us,
nc73706081,2022-03-15 18:04:47.590000+00:00,37.5336667,-121.822,0.65,md,"10km SE of Sunol, CA",earthquake,reviewed,nc,US-CA
ok2022fetl,2022-03-15 18:02:46.679000+00:00,34.50166667,-97.21116667,1.46,ml,"8 km W of Davis, Oklahoma",quarry blast,reviewed,ok,US-OK
hv72951212,2022-03-15 17:57:00.440000+00:00,19.2186660766602,-155.385665893555,1.83000004,md,"9 km E of P?hala, Hawaii",earthquake,automatic,hv,US-HI
ok2022fetd,2022-03-15 17:53:09.410000+00:00,36.2345,-95.83933333,1.41,ml,"4 km SSE of Owasso, Oklahoma",quarry blast,reviewed,ok,US-OK
